age,sd,median
0,1.8627,49.1
1,1.9542,53.7
2,2.0362,57.1
3,2.1051,59.8
4,2.1645,62.1
5,2.2174,64.0
6,2.2664,65.7
7,2.3154,67.3
8,2.365,68.7
9,2.4157,70.1
10,2.4676,71.5
11,2.5208,72.8
12,2.575,74.0
13,2.6296,75.2
14,2.6841,76.4
15,2.7392,77.5
16,2.7944,78.6
17,2.849,79.7
18,2.9039,80.7
19,2.9582,81.7
20,3.0129,82.7
21,3.0672,83.7
22,3.1202,84.6
23,3.1737,85.5
24,3.2267,86.4
25,3.2783,86.6
26,3.33,87.4
27,3.3812,88.3
28,3.4313,89.1
29,3.4809,89.9
30,3.5302,90.7
31,3.5782,91.4
32,3.6259,92.2
33,3.6724,92.9
34,3.7186,93.6
35,3.7638,94.4
36,3.8078,95.1
37,3.8526,95.7
38,3.8963,96.4
39,3.9389,97.1
40,3.9813,97.7
41,4.0236,98.4
42,4.0658,99.0
43,4.1068,99.7
44,4.1476,100.3
45,4.1883,100.9
46,4.2279,101.5
47,4.2683,102.1
48,4.3075,102.7
49,4.3456,103.3
50,4.3847,103.9
51,4.4226,104.5
52,4.4604,105.0
53,4.4981,105.6
54,4.5358,106.2
55,4.5734,106.7
56,4.6108,107.3
57,4.6472,107.8
58,4.6834,108.4
59,4.7195,108.9
60,4.7566,109.4
